"",baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000170860,23.8451153883632,-0.0356925036413959,0.377704959595246,-0.0944983716381286,0.924713275903047,0.999424181882359,NS
ENSG00000170866,125.808031644453,-0.514378827588204,0.300417346041014,-1.71221413931931,0.0868572126955689,0.999424181882359,NS
ENSG00000170871,406.317501576393,-0.0154740511273505,0.149932829227462,-0.103206557276892,0.917799035751357,0.999424181882359,NS
ENSG00000170876,407.349686329239,0.180557068256554,0.202582739591465,0.891275676401016,0.372781294388526,0.999424181882359,NS
ENSG00000170881,112.430797220444,-0.312198267672946,0.251063717821783,-1.24350212918682,0.213682856838913,0.999424181882359,NS
ENSG00000170889,795.462002529425,-0.172498043197982,0.168402240334765,-1.02432154616871,0.305683424308641,0.999424181882359,NS
ENSG00000170892,442.475776544415,-0.00890261683640177,0.176853882370861,-0.050338826137461,0.959852384190724,0.999424181882359,NS
ENSG00000170906,15.0980811011643,0.170806278044772,0.465577072921359,0.366870037162725,0.713715962299328,0.999424181882359,NS
ENSG00000170909,158.264789291808,0.0468849692121623,0.237776276310325,0.197181022176376,0.843685881177013,0.999424181882359,NS
ENSG00000170919,9.11518890268665,-0.182320128498659,0.540969497198052,-0.337024785025746,0.736098216250714,0.999424181882359,NS
ENSG00000170921,35.1649134149963,-0.239102803598566,0.305629710882594,-0.782328402916353,0.434021598814886,0.999424181882359,NS
ENSG00000170949,50.6426016129957,-0.27852551112348,0.325605320181898,-0.855408354408593,0.392325120175469,0.999424181882359,NS
ENSG00000171049,1241.27667429482,0.185796387400999,0.204191274758472,0.909913450615204,0.362868155656693,0.999424181882359,NS
ENSG00000171051,5285.6780397651,0.129339971640174,0.173100570443253,0.747195525173473,0.454945544830116,0.999424181882359,NS
ENSG00000171055,24.6662244928477,0.109886638647503,0.375748771030884,0.292447100614657,0.769944800308263,0.999424181882359,NS
ENSG00000171100,41.4223329889588,0.0752031505541578,0.26854121951677,0.280043230195659,0.779444338339016,0.999424181882359,NS
ENSG00000171109,71.7839228096192,0.26157343852894,0.250384487370539,1.04468707816488,0.29616761894949,0.999424181882359,NS
ENSG00000171115,16.9851872977538,-0.419731838947095,0.598214987540661,-0.701640459849839,0.482903412815328,0.999424181882359,NS
ENSG00000171132,7.69749109985694,-1.10512322770664,0.638474680641986,-1.7308802701392,0.0834731212583625,0.999424181882359,NS
ENSG00000171135,11.9077050815335,0.248339325811603,0.470351655019426,0.527986503632789,0.597508703393825,0.999424181882359,NS
ENSG00000171148,153.021883022918,0.165443302161201,0.167415724120444,0.988218418732137,0.32304568950025,0.999424181882359,NS
ENSG00000171150,11.9142493312774,-0.583266918930787,0.4997284868688,-1.16716764054301,0.243142676162681,0.999424181882359,NS
ENSG00000171155,32.9970418082598,0.143777817364894,0.300929141750828,0.477779641175275,0.63280705293844,0.999424181882359,NS
ENSG00000171159,30.1209226148329,0.00685852407422457,0.330601436093236,0.0207455967380926,0.983448595898169,0.999424181882359,NS
ENSG00000171161,36.6985887662322,-0.264296640089003,0.282828528429884,-0.934476594550907,0.350058103813681,0.999424181882359,NS
ENSG00000171163,60.2443819587334,0.241021002235185,0.250913044327163,0.960575815743243,0.336765493487022,0.999424181882359,NS
ENSG00000171169,37.4818309326401,-0.0111625127773586,0.292252260274106,-0.0381947868149565,0.969532377383834,0.999424181882359,NS
ENSG00000171174,58.7396388855348,-1.72908626029871,1.04674083883834,-1.65187618189964,0.0985597944431514,0.999424181882359,NS
ENSG00000171204,8.84338119139438,-0.213618960949814,0.551106366453889,-0.387618387216885,0.698298459751486,0.999424181882359,NS
ENSG00000171206,391.133273108436,-0.230320302877131,0.206346597589204,-1.11618173290966,0.264344352040419,0.999424181882359,NS
ENSG00000171222,47.7677419406626,-0.140600681769697,0.314092553525355,-0.44764092682747,0.65441236117299,0.999424181882359,NS
ENSG00000171223,10946.1845254632,-0.098613976627293,0.230105696514342,-0.428559475584936,0.668243842078971,0.999424181882359,NS
ENSG00000171236,596.979196944404,-0.210546927551528,0.259358753970147,-0.811798037770349,0.416907528200125,0.999424181882359,NS
ENSG00000171295,7.71104753946562,-0.15386876325058,0.613373800258965,-0.250856432383674,0.801925109419103,0.999424181882359,NS
ENSG00000171298,323.923191054613,-0.355383184939206,0.200065036910449,-1.77633828692556,0.0756771762177526,0.999424181882359,NS
ENSG00000171302,354.316593229039,0.175380636055461,0.171202846528729,1.02440257046796,0.305645168365116,0.999424181882359,NS
ENSG00000171310,437.989895496096,-0.305126746323742,0.188169150192036,-1.62155563763956,0.104898527899453,0.999424181882359,NS
ENSG00000171314,190.03445353737,0.0487854155234702,0.195804882910743,0.249153212107121,0.803242269635582,0.999424181882359,NS
ENSG00000171316,99.3750696522148,-0.153616207449788,0.242675288329436,-0.633011331756413,0.526726243061871,0.999424181882359,NS
ENSG00000171425,17.2512458313879,0.300897669051166,0.392665390908115,0.766295365006021,0.443500575579406,0.999424181882359,NS
ENSG00000171428,10.5035412000919,0.361619354667272,0.505839286532932,0.714889816379908,0.474677130108436,0.999424181882359,NS
ENSG00000171443,15.5861022347467,0.357516041887335,0.436898505072004,0.818304566705747,0.413183299139029,0.999424181882359,NS
ENSG00000171456,64.7046130286537,0.246793900684079,0.235551014056058,1.04773015592005,0.294762949691677,0.999424181882359,NS
ENSG00000171467,22.4725772570523,0.0246094111834468,0.37751991125095,0.0651870549076499,0.948025067893772,0.999424181882359,NS
ENSG00000171469,13.9031739844611,0.0225101433224041,0.469832511263916,0.0479109954776195,0.961787176331594,0.999424181882359,NS
ENSG00000171475,227.160485396728,-0.0776296924163223,0.154308832107644,-0.503080033436899,0.614908004015798,0.999424181882359,NS
ENSG00000171492,11.5240159221358,-0.431634387215443,0.489826512947142,-0.8811984974403,0.378210392414461,0.999424181882359,NS
ENSG00000171497,37.7114248833613,0.32809425861632,0.31248498958772,1.04995206025478,0.293740154289038,0.999424181882359,NS
ENSG00000171522,196.024459596056,0.12673080181203,0.230420510632746,0.549997921035853,0.582320799513466,0.999424181882359,NS
ENSG00000171530,19.6289224719719,0.11563750930494,0.392760971587308,0.294422098095952,0.768435382996909,0.999424181882359,NS
ENSG00000171552,33.8130422671,-0.0641033175003376,0.305609876230536,-0.209755385823924,0.833858595327615,0.999424181882359,NS
ENSG00000171566,12.8913843168554,-0.0943049574693215,0.453296788470101,-0.208042412538605,0.835195851362531,0.999424181882359,NS
ENSG00000171570,355.970424658454,0.287101143100678,0.187971614816936,1.52736434902835,0.126670436371599,0.999424181882359,NS
ENSG00000171603,47.9571311493767,-0.121039507905568,0.286944997820364,-0.421821285699296,0.6731554678122,0.999424181882359,NS
ENSG00000171606,74.571660834486,0.0027479978367532,0.214549064380371,0.0128082489881257,0.989780775294971,0.999424181882359,NS
ENSG00000171608,1880.37916118658,0.234416333977199,0.121754795469456,1.92531499949016,0.0541899622554688,0.999424181882359,NS
ENSG00000171617,35.4072250394293,1.13121622000211,0.839544689691484,1.34741632445774,0.177846185929102,0.999424181882359,NS
ENSG00000171634,162.692338741086,-0.0726438812768982,0.169593394742965,-0.428341453905071,0.668402542495496,0.999424181882359,NS
ENSG00000171700,615.287318718893,0.150508916220081,0.147584908031292,1.01981237938075,0.307817450947203,0.999424181882359,NS
ENSG00000171720,47.4637261485894,0.299680187747163,0.253242088336288,1.18337433447954,0.236660824398762,0.999424181882359,NS
ENSG00000171763,25.5998677722396,-0.650893990230803,0.386721302307471,-1.68310870476252,0.0923540496794973,0.999424181882359,NS
ENSG00000171777,1097.63350524198,0.278601449775621,0.153765187023168,1.81186297867048,0.0700073709988905,0.999424181882359,NS
ENSG00000171823,9.55022682021482,-0.0165554647453231,0.520365897568689,-0.0318150455721164,0.974619548079058,0.999424181882359,NS
ENSG00000171824,9.81791218304384,0.103468837205562,0.520231553745645,0.198889968247007,0.842348816931045,0.999424181882359,NS
ENSG00000171840,49.9855750632245,-0.227594392901155,0.248281458578886,-0.916678974756553,0.359310886776566,0.999424181882359,NS
ENSG00000171853,97.0587007609364,-0.0165211920353109,0.214611641954284,-0.0769818071604438,0.938638017796711,0.999424181882359,NS
ENSG00000171858,17.8738458087364,-0.156542253912123,0.439683275285864,-0.35603413345742,0.721815003033729,0.999424181882359,NS
ENSG00000171860,24.8466581466117,0.271767728792257,0.374162101371917,0.72633686788636,0.467632283198523,0.999424181882359,NS
ENSG00000171862,1137.77466089791,-0.201428531264795,0.220271682538456,-0.91445495373482,0.36047783736248,0.999424181882359,NS
ENSG00000171863,49.9344428692173,0.0608661705698914,0.292642719233355,0.207987988661889,0.835238345938911,0.999424181882359,NS
ENSG00000171916,12.7853553598418,0.466687055928612,0.822262601590977,0.56756449220192,0.570330723409659,0.999424181882359,NS
ENSG00000171928,16.8949467403899,-0.0610857193776551,0.409172737765656,-0.149290785381309,0.881324185992763,0.999424181882359,NS
